AGI_code	short_name	long_name	Meiotic_phase	Description_custom
AT4G29170  	MND1	MEIOTIC NUCLEAR DIVISIONS 1	inter-homologous (IH) bias during meiotic recombination	"repair of SPO11-indiced DSB; Stabilization of presynaptic filament and promotion of duplex capture. Act as a complex, interaction demonstrated by yeast two-hybrid analysis; Required for chromosome pairing and synapsis and for DSB repair. "
AT4G01370	MPK4	MAP KINASE 4	Meiotic cell cycle control spindle - cytokinesis	Male meiotic cytokinesis; nuclear and cytoplasmically localized MAP kinase; also involved in mediating responses to pathogens
AT5G54260	MRE11	MEIOTIC RECOMBINATION 11	early DSB repair in meiotic recombination	"repair of SPO11-induced meiotic DSB; MRE11, RAD50 and NBS1 function as complex with COM1 in removal of SPO11, resection of 5' end; also in somatic DNA DSB repair; required for meiotic DSB repair"
AT4G20900	MS5	MALE-STERILE 5	Meiotic cell cycle control spindle - cytokinesis	also TDM; meitotic cell cycle transitions; protein required for cell cycle exit after meiosis II
AT3G18524	MSH2	MUTS HOMOLOG 2	CO and non-CO outcome of meiotic recombination	anti-CO activity; suppresses recombination between divergent direct repeats in somatic cells or between homologues from different ecotypes during meiosis; affects HR dependent on sequence divergence; add. Functuion in mismatch repair
AT4G17380	MSH4	MUTS-like protein 4	CO and non-CO outcome of meiotic recombination	class I CO pathway of meiotic recombination accounting for 85% of COs; homologue of the bacterial MutS mismatch repair protein. Biochemical studies on hMSH4/MSH5 indicate that they form a complex that binds and stabilizes progenitor Hjs; required for 
AT3G20475 	MSH5	MUTS-homologue 5	CO and non-CO outcome of meiotic recombination	class I CO pathway of meiotic recombination accounting for 85% of COs; homologue of the bacterial MutS mismatch repair protein. Biochemical studies on hMSH4/MSH5 indicate that they form a complex that binds and stabilizes progenitor Hjs; required for 
AT1G60460	MTOPVIB	"MEIOTIC TOPOISOMERASE VIB-LIKE, MTOPVIB"	DSB formation in meiotic recombination	Encodes a structural homolog of the archaeal topo VIB subunit that forms a complex with the two Arabidopsis thaliana SPO11 orthologs required for meiotic DSB formation (SPO11-1 and SPO11-2) and is essential for meiotic DSB formation
AT4G30870	MUS81	ARABIDOPSIS THALIANA MMS AND UV SENSITIVE 81	CO and non-CO outcome of meiotic recombination	Implicated in the formation of 30% of class II noninterfering COs. In vitro studies indicate that it can cleave nicked and intact Hjs; mutant very small reduction in Cos
AT3G02680	NBS1	NIJMEGEN BREAKAGE SYNDROME 1	early DSB repair in meiotic recombination	"dispensable for meiotic DSB repair in Ath except in atm mutant; also XRS2; MRE11, RAD50 and NBS1 function as complex with COM1 in removal of SPO11, resection of 5' end; DNA cross-link repair (meiotic role may be non-essential)"
AT3G57860	OSD1	OMISSION OF SECOND DIVISION 1	Meiotic cell cycle control spindle - cytokinesis	also UV14L and GIG1; meitotic cell cycle transitions via APC/C regulation; controls entry into the second meiotic division
AT3G14190	PANS1	PATRONUS 1	Sister chromatid cohesion	"also: CMR1, COPPER MODIFIED RESISTANCE 1; centromeric cohesion protection at interkinesis;  Loss of function alleles are defective in meiosis and have reduced fertility. pans1 mutants show premature loss of cohesion of sister chromatids during meioisis I and meiosis II resulting in abnormal chromosome segregation and unbalanced tetrads; also role in mitotic onset control"
AT4G24710	PCH2	PACHYTENE CHECKPOINT 2	DSB formation in meiotic recombination	also CRC1; refulation of synapsis and meiotic CO formation; AAA+ ATPase that mediates meiotic chromosome remodeling and crossover maturation.
AT5G47690	PDS5A	Precocious Dissociation of Sisters A	Sister chromatid cohesion	one of 5 PO76/Saccharomyces cerevisiae PDS5 cohesion cofactor orthologs of Arabidopsis
AT1G77600	PDS5B	Precocious Dissociation of Sisters B	Sister chromatid cohesion	cohesin; selection in tetraploid arenosa; one of 5 PO76/Saccharomyces cerevisiae PDS5 cohesion cofactor orthologs of Arabidopsis
AT4G31880	PDS5C	Precocious Dissociation of Sisters C	Sister chromatid cohesion	one of 5 PO76/Saccharomyces cerevisiae PDS5 cohesion cofactor orthologs of Arabidopsis
AT1G80810	PDS5D	Precocious Dissociation of Sisters D	Sister chromatid cohesion	one of 5 PO76/Saccharomyces cerevisiae PDS5 cohesion cofactor orthologs of Arabidopsis
AT1G15940	PDS5E	Precocious Dissociation of Sisters E	Sister chromatid cohesion	one of 5 PO76/Saccharomyces cerevisiae PDS5 cohesion cofactor orthologs of Arabidopsis
AT1G10710	PHS1	POOR HOMOLOGOUS SYNAPSIS 1	DSB formation in meiotic recombination	PHS1 regulates recombination and pairing of homologous chromosomes during meiotic prophase by controlling transport of RAD50 from cytoplasm to the nucleus
AT4G02460	PMS1	POSTMEIOTIC SEGREGATION 1		DNA mismatch repair in somatic cells only
AT4G14180	PRD1	Putative Recombination Initiation Defects 1	DSB formation in meiotic recombination	required for meiotic DSB formation; unknown function; interaction with SPO11; possible homologue of mammalian MEI1; required for formation of DMC1 foci
AT5G57880 	PRD2	Putative Recombination Initiation Defects 2	DSB formation in meiotic recombination	" required for meiotic DSB formation; possible orthologue of MEI4 (yeast, mammals); required for formation of DMC1 foci"
AT1G01690	PRD3	Putative Recombination Initiation Defects 3	DSB formation in meiotic recombination	also PAIR1; required for meitotic DSB formation; orthologue of rice PAIR1; required for formation of DMC1 foci; SPO11 accessory; outlier in tetraploid A. arenosa
