AGI code	Annotation
AT1G17970	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G18270	 fructose-bisphosphate aldolase/ zinc ion binding [Arabidopsis thaliana] 
AT1G18340	 transcription factor [Arabidopsis thaliana] 
AT1G18470	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G18480	 hydrolase/ protein serine/threonine phosphatase [Arabidopsis thaliana] 
AT1G18560	 DNA binding / protein dimerization [Arabidopsis thaliana] 
AT1G18660	 ATP-dependent peptidase/ ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G18760	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G18770	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G18780	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G18860	 WRKY61; transcription factor [Arabidopsis thaliana] 
AT1G19270	 zinc ion binding [Arabidopsis thaliana] 
AT1G19310	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G20110	 zinc ion binding [Arabidopsis thaliana] 
AT1G20230	 unknown protein [Arabidopsis thaliana] 
AT1G20823	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G20980	 SPL14 (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 14); DNA binding / transcription factor [Arabidopsis thaliana] 
AT1G20990	 unknown protein [Arabidopsis thaliana] 
AT1G21340	 DNA binding / transcription factor [Arabidopsis thaliana] 
AT1G21570	 nucleic acid binding [Arabidopsis thaliana] 
AT1G21960	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G22430	 oxidoreductase/ zinc ion binding [Arabidopsis thaliana] 
AT1G22440	 oxidoreductase/ zinc ion binding [Arabidopsis thaliana] 
AT1G22500	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G22510	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G22670	 peptidase/ protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G22920	 AJH1 [Arabidopsis thaliana] 
AT1G22990	 metal ion binding [Arabidopsis thaliana] 
AT1G23190	" intramolecular transferase, phosphotransferases / phosphoglucomutase [Arabidopsis thaliana] "
AT1G23410	 protein binding / structural constituent of ribosome [Arabidopsis thaliana] 
AT1G23730	 carbonate dehydratase/ zinc ion binding [Arabidopsis thaliana] 
AT1G23860	 SRZ-21 [Arabidopsis thaliana] 
AT1G23980	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G24140	 metalloendopeptidase/ metallopeptidase/ zinc ion binding [Arabidopsis thaliana] 
AT1G24440	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G24580	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G24625	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT1G25141	 UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [Arabidopsis thaliana] 
AT1G25230	 hydrolase/ protein serine/threonine phosphatase [Arabidopsis thaliana] 
AT1G25250	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT1G25375	 catalytic [Arabidopsis thaliana] 
AT1G26320	 oxidoreductase/ zinc ion binding [Arabidopsis thaliana] 
AT1G26590	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT1G26610	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT1G26790	 DNA binding / transcription factor [Arabidopsis thaliana] 
AT1G26800	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G27360	 DNA binding [Arabidopsis thaliana] 
AT1G27370	 DNA binding [Arabidopsis thaliana] 
AT1G27650	 RNA binding / nucleic acid binding [Arabidopsis thaliana] 
AT1G27730	 ZAT10; nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT1G28210	 ATJ1; heat shock protein binding / unfolded protein binding [Arabidopsis thaliana] 
AT1G28310	 DNA binding / transcription factor [Arabidopsis thaliana] 
AT1G29100	 copper ion binding / metal ion binding [Arabidopsis thaliana] 
AT1G29160	 DNA binding / transcription factor [Arabidopsis thaliana] 
AT1G29180	 unknown protein [Arabidopsis thaliana] 
AT1G29280	 WRKY65; transcription factor [Arabidopsis thaliana] 
AT1G29570	 nucleic acid binding [Arabidopsis thaliana] 
AT1G29600	 nucleic acid binding [Arabidopsis thaliana] 
AT1G29700	 unknown protein [Arabidopsis thaliana] 
AT1G29800	 zinc ion binding [Arabidopsis thaliana] 
AT1G29860	 WRKY71; transcription factor [Arabidopsis thaliana] 
AT1G30300	 unknown protein [Arabidopsis thaliana] 
AT1G30460	 nucleic acid binding [Arabidopsis thaliana] 
AT1G30650	 WRKY14; transcription factor [Arabidopsis thaliana] 
AT1G30810	 transcription factor [Arabidopsis thaliana] 
AT1G30970	 transcription factor [Arabidopsis thaliana] 
AT1G31260	 ZIP10; cation transporter [Arabidopsis thaliana] 
AT1G32190	 catalytic [Arabidopsis thaliana] 
AT1G32340	 NHL8; ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G32360	 nucleic acid binding / transcription factor [Arabidopsis thaliana] 
AT1G32530	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G32540	 LOL1 (LSD ONE LIKE 1) [Arabidopsis thaliana] 
AT1G32780	 oxidoreductase/ zinc ion binding [Arabidopsis thaliana] 
AT1G33400	 unknown protein [Arabidopsis thaliana] 
AT1G33420	 DNA binding / protein binding / zinc ion binding [Arabidopsis thaliana] 
AT1G34260	 1-phosphatidylinositol-4-phosphate 5-kinase [Arabidopsis thaliana] 
AT1G34370	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT1G34380	 5'-3' exonuclease/ DNA binding / catalytic/ nuclease [Arabidopsis thaliana] 
AT1G34480	 protein binding / zinc ion binding [Arabidopsis thaliana] 
AT1G34790	 TT1 (TRANSPARENT TESTA 1); transcription factor [Arabidopsis thaliana] 
AT1G35330	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G35610	 protein binding / zinc ion binding [Arabidopsis thaliana] 
AT1G35625	 peptidase/ protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G35630	 peptidase/ protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G36160	 ACC1 (ACETYL-COENZYME A CARBOXYLASE 1); acetyl-CoA carboxylase [Arabidopsis thaliana] 
AT1G36730	 translation initiation factor [Arabidopsis thaliana] 
AT1G36950	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G42540	 ATGLR3.3 [Arabidopsis thaliana] 
AT1G43670	 fructose-bisphosphatase/ phosphoric ester hydrolase [Arabidopsis thaliana] 
AT1G43770	 DNA binding / protein binding / zinc ion binding [Arabidopsis thaliana] 
AT1G44020	 unknown protein [Arabidopsis thaliana] 
AT1G44030	 unknown protein [Arabidopsis thaliana] 
AT1G44050	 unknown protein [Arabidopsis thaliana] 
AT1G44180	 aminoacylase/ metallopeptidase [Arabidopsis thaliana] 
AT1G44350	 ILL6; metallopeptidase [Arabidopsis thaliana] 
AT1G44414	 unknown protein [Arabidopsis thaliana] 
AT1G44542	 unknown protein [Arabidopsis thaliana] 
AT1G44820	 aminoacylase/ metallopeptidase [Arabidopsis thaliana] 
AT1G45180	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G45243	 unknown protein [Arabidopsis thaliana] 
AT1G45976	 SBP1 (S-RIBONUCLEASE BINDING PROTEIN 1) [Arabidopsis thaliana] 
AT1G47240	 NRAMP2; metal ion transporter [Arabidopsis thaliana] 
AT1G47570	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G47655	 DNA binding / transcription factor [Arabidopsis thaliana] 
AT1G48120	 hydrolase/ protein serine/threonine phosphatase [Arabidopsis thaliana] 
AT1G48175	 EMB2191; hydrolase/ zinc ion binding [Arabidopsis thaliana] 
AT1G48195	 nucleic acid binding [Arabidopsis thaliana] 
AT1G48570	 binding [Arabidopsis thaliana] 
AT1G48790	 unknown protein [Arabidopsis thaliana] 
AT1G48950	 unknown protein [Arabidopsis thaliana] 
AT1G49200	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G49210	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G49220	 ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G49230	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G49590	 nucleic acid binding / zinc ion binding [Arabidopsis thaliana] 
AT1G49630	 ATPREP2; metalloendopeptidase [Arabidopsis thaliana] 
AT1G49670	 oxidoreductase/ zinc ion binding [Arabidopsis thaliana] 
AT1G49850	 protein binding / ubiquitin-protein ligase/ zinc ion binding [Arabidopsis thaliana] 
AT1G49900	 nucleic acid binding / transcription factor/ zinc ion binding [Arabidopsis thaliana] 
AT1G49920	 unknown protein [Arabidopsis thaliana] 
AT1G50250	 FTSH1; ATP-dependent peptidase/ ATPase/ metallopeptidase [Arabidopsis thaliana] 
AT1G50300	 RNA binding / nucleic acid binding [Arabidopsis thaliana] 
AT1G50370	 hydrolase/ protein serine/threonine phosphatase [Arabidopsis thaliana] 
