Ath_ID	description
AT1G08260	DNA POLYMERASE SUBUNIT A
AT2G42120	DNA POLYMERASE DELTA SMALL SUBUNIT 
AT1G78650	DNA POLYMERASE DELTA
AT1G09815	POLYMERASE DELTA 4 
AT5G44740	Y-FAMILY DNA POLYMERASE H 
AT4G14180	PUTATIVE RECOMBINATION INITIATION DEFECT 1 
AT3G12530	GINS COMPLEX SUBUNIT 2
AT5G54090	DNA MISMATCH REPAIR PROTEIN MUTS
AT3G50880	DNA GLYCOSYLASE SUPERFAMILY PROTEIN
AT5G28740	TPR-LIKE SUPERFAMILY PROTEIN
AT5G05130	DNA/RNA HELICASE PROTEIN
AT5G07400	FHA DOMAIN-CONTAINING PROTEIN
AT5G57970	DNA GLYCOSYLASE
AT1G52530	HUS1-LIKE PROTEIN
AT3G13226	RECX FAMILY PROTEIN
AT4G17020	TRANSCRIPTION FACTOR-LIKE PROTEIN
AT1G65070	DNA MISMATCH REPAIR PROTEIN MUTS
AT1G11780	OXIDOREDUCTASE
AT5G58720	SMR DOMAIN-CONTAINING PROTEIN
AT1G29630	5-3 EXONUCLEASE FAMILY PROTEIN
AT5G44680	REALLY INTERESTING NEW GENE 1A 
AT1G55750	BSD DOMAIN-CONTAINING PROTEIN
AT4G08580	MICROFIBRILLAR-ASSOCIATED PROTEIN
AT5G65740	ZINC ION BINDING PROTEIN
AT1G49980	DNA/RNA POLYMERASE SUPERFAMILY PROTEIN
AT5G43210	EXCINUCLEASE ABC
AT3G02060	DEAD/DEAH BOX HELICASE
AT1G75090	DNA GLYCOSYLASE SUPERFAMILY PROTEIN
AT2G32000	DNA TOPOISOMERASE
AT4G25290	DNA PHOTOLYASE
AT3G14160	DIOXYGENASE FAMILY PROTEIN
AT5G64420	DNA POLYMERASE
AT3G12040	DNA GLYCOSYLASE
AT4G17760	PCNA DOMAIN-CONTAINING PROTEIN
AT4G32960	BRISC/BRCA1-A COMPLEX PROTEIN
AT4G30820	CDK-ACTIVATING KINASE ASSEMBLY FACTOR-LIKE PROTEIN
AT1G18090	5-3 EXONUCLEASE FAMILY PROTEIN
AT3G48420	PHOSPHATASE-LIKE PROTEIN
AT4G12740	DNA REPAIR PROTEIN
AT4G31150	ENDONUCLEASE v FAMILY PROTEIN
AT5G66130	RADIATION SENSITIVE 17
AT1G79650	RADIATION SENSITIVE23B 
AT3G02540	RADIATION SENSITIVE23C 
AT5G38470	RADIATION SENSITIVE23D 
AT1G20720	RAD3-LIKE DNA-BINDING HELICASE PROTEIN
AT5G16630	DNA REPAIR PROTEIN
AT5G22750	DNA REPAIR PROTEIN
AT2G31970	DNA REPAIR PROTEIN
AT5G20850	RAD51 RECOMBINASE
AT2G28560	RAD51 RECOMBINASE
AT2G45280	RAD51 RECOMBINASE
AT1G07745	RAD51 RECOMBINASE
AT1G71310	DNA REPAIR RAD52 PROTEIN 1
AT5G47870	DNA REPAIR RAD52 PROTEIN 2
