AGI code	Annotation
AT4G32590	 ferredoxin-related [Arabidopsis thaliana] 
AT4G24730	 calcineurin-like phosphoesterase family protein [Arabidopsis thaliana] 
AT5G63140	 calcineurin-like phosphoesterase family [Arabidopsis thaliana] 
AT2G17970	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT2G48080	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT4G02485	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT1G48980	 hypothetical protein [Arabidopsis thaliana] 
AT3G28490	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT4G35820	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT2G23096	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT2G17720	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT5G66060	" oxidoreductase, 2OG-Fe(II) oxygenase family [Arabidopsis thaliana] "
AT1G20270	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT3G28480	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT4G33910	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT1G30540	" ATPase, BadF/BadG/BcrA/BcrD-type family [Arabidopsis thaliana] "
AT1G32550	 ferredoxin family protein [Arabidopsis thaliana] 
AT4G14890	 ferredoxin family protein [Arabidopsis thaliana] 
AT2G01490	 phytanoyl-CoA dioxygenase (PhyH) family protein [Arabidopsis thaliana] 
AT3G17810	 dihydroorotate dehydrogenase family protein / dihydroorotate oxidase family protein [Arabidopsis thaliana] 
AT3G22360	" alternative oxidase 1b, mitochondrial (AOX1B) [Arabidopsis thaliana] "
AT3G22370	" alternative oxidase 1a, mitochondrial (AOX1A) [Arabidopsis thaliana] "
AT3G27620	" alternative oxidase 1c, mitochondrial (AOX1C) [Arabidopsis thaliana] "
AT5G64210	" alternative oxidase 2, mitochondrial (AOX2) [Arabidopsis thaliana] "
AT1G32350	" alternative oxidase, putative [Arabidopsis thaliana] "
AT4G22260	" alternative oxidase, putative / immutans protein (IM) [Arabidopsis thaliana] "
AT1G10810	 aldo/keto reductase family protein [Arabidopsis thaliana] 
AT1G59950	" aldo/keto reductase, putative [Arabidopsis thaliana] "
AT1G59960	" aldo/keto reductase, putative [Arabidopsis thaliana] "
AT2G21250	" mannose 6-phosphate reductase (NADPH-dependent), putative [Arabidopsis thaliana] "
AT2G21260	" mannose 6-phosphate reductase (NADPH-dependent), putative [Arabidopsis thaliana] "
AT5G62420	 aldo/keto reductase family [Arabidopsis thaliana] 
AT1G54500	 rubredoxin family protein [Arabidopsis thaliana] 
AT5G17170	 expressed protein [Arabidopsis thaliana] 
AT5G51010	 expressed protein [Arabidopsis thaliana] 
AT1G74910	 ADP-glucose pyrophosphorylase family protein [Arabidopsis thaliana] 
AT4G30570	" GDP-mannose pyrophosphorylase, putative [Arabidopsis thaliana] "
AT2G34970	 eIF4-gamma/eIF5/eIF2-epsilon domain-containing protein [Arabidopsis thaliana] 
AT4G18300	 eIF4-gamma/eIF5/eIF2-epsilon domain-containing protein [Arabidopsis thaliana] 
AT4G39210	 glucose-1-phosphate adenylyltransferase large subunit 3 (APL3) / ADP-glucose pyrophosphorylase [Arabidopsis thaliana] 
AT5G19220	" glucose-1-phosphate adenylyltransferase, large subunit 1, chloroplast (ADP-glucose pyrophosphorylase) (ADG2) (APL1) [Arabidopsis thaliana] "
AT5G06550	 hypothetical protein [Arabidopsis thaliana] 
AT5G63080	 hypothetical protein [Arabidopsis thaliana] 
AT3G20810	 transcription factor jumonji (jmjC) domain-containing protein [Arabidopsis thaliana] 
AT1G50590	" pirin, putative [Arabidopsis thaliana] "
AT3G59220	" pirin, putative [Arabidopsis thaliana] "
AT3G59260	" pirin, putative [Arabidopsis thaliana] "
AT2G43120	" pirin, putative [Arabidopsis thaliana] "
AT2G46880	 calcineurin-like phosphoesterase family protein [Arabidopsis thaliana] 
AT3G10150	 calcineurin-like phosphoesterase family protein [Arabidopsis thaliana] 
AT5G57140	 Calcineurin-like phosphoesterase family [Arabidopsis thaliana] 
AT1G02400	" gibberellin 2-oxidase, putative / GA2-oxidase, putative [Arabidopsis thaliana] "
AT1G03400	" 2-oxoglutarate-dependent dioxygenase, putative [Arabidopsis thaliana] "
AT1G03410	" 2-oxoglutarate-dependent dioxygenase, putative [Arabidopsis thaliana] "
AT1G04350	" 2-oxoglutarate-dependent dioxygenase, putative [Arabidopsis thaliana] "
AT1G04380	" 2-oxoglutarate-dependent dioxygenase, putative [Arabidopsis thaliana] "
AT1G05010	 1-aminocyclopropane-1-carboxylate oxidase / ACC oxidase / ethylene-forming enzyme (ACO) (EAT1) [Arabidopsis thaliana] 
AT1G06620	" 2-oxoglutarate-dependent dioxygenase, putative [Arabidopsis thaliana] "
AT1G06640	" 2-oxoglutarate-dependent dioxygenase, putative [Arabidopsis thaliana] "
AT1G06650	" 2-oxoglutarate-dependent dioxygenase, putative [Arabidopsis thaliana] "
AT1G12010	" 1-aminocyclopropane-1-carboxylate oxidase, putative / ACC oxidase, putative [Arabidopsis thaliana] "
AT1G14120	" 2-oxoglutarate-dependent dioxygenase, putative [Arabidopsis thaliana] "
AT1G14130	" 2-oxoglutarate-dependent dioxygenase, putative [Arabidopsis thaliana] "
AT1G15540	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT1G15550	 gibberellin 3-beta-dioxygenase / gibberellin 3 beta-hydroxylase (GA4) [Arabidopsis thaliana] 
AT1G17010	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT1G17020	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT1G28030	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT1G30040	 gibberellin 2-oxidase / GA2-oxidase (GA2OX2) [Arabidopsis thaliana] 
AT1G35190	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT1G44090	 gibberellin 20-oxidase family protein [Arabidopsis thaliana] 
AT1G47990	" gibberellin 2-oxidase, putative / GA2-oxidase, putative [Arabidopsis thaliana] "
AT1G49390	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT1G50960	 gibberellin 20-oxidase-related [Arabidopsis thaliana] 
AT1G52790	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT1G52800	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT1G52820	" 2-oxoglutarate-dependent dioxygenase, putative [Arabidopsis thaliana] "
AT1G55290	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT1G60980	" gibberellin 20-oxidase, putative [Arabidopsis thaliana] "
AT1G62380	" 1-aminocyclopropane-1-carboxylate oxidase, putative / ACC oxidase, putative [Arabidopsis thaliana] "
AT1G78440	 gibberellin 2-oxidase / GA2-oxidase (GA2OX1) [Arabidopsis thaliana] 
AT1G78550	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT1G80320	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT1G80330	" gibberellin 3-beta-dioxygenase, putative / gibberellin 3 beta-hydroxylase, putative [Arabidopsis thaliana] "
AT1G80340	 gibberellin 3-beta-dioxygenase / gibberellin 3 beta-hydroxylase (GA4H) [Arabidopsis thaliana] 
AT2G19590	" 1-aminocyclopropane-1-carboxylate oxidase, putative / ACC oxidase, putative [Arabidopsis thaliana] "
AT2G25450	" 2-oxoglutarate-dependent dioxygenase, putative [Arabidopsis thaliana] "
AT2G30830	" 2-oxoglutarate-dependent dioxygenase, putative [Arabidopsis thaliana] "
AT2G30840	" 2-oxoglutarate-dependent dioxygenase, putative [Arabidopsis thaliana] "
AT2G34555	 gibberellin 2-oxidase / GA2-oxidase (GA2OX3) [Arabidopsis thaliana] 
AT2G36690	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT2G38240	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT2G44800	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT3G11180	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT3G12900	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT3G13610	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT3G46480	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT3G46490	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT3G46500	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT3G47190	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT3G49620	" 2-oxoacid-dependent oxidase, putative (DIN11) [Arabidopsis thaliana] "
AT3G49630	" 2-oxoacid-dependent oxidase, putative [Arabidopsis thaliana] "
AT3G51240	 naringenin 3-dioxygenase / flavanone 3-hydroxylase (F3H) [Arabidopsis thaliana] 
AT3G55970	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT3G60290	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT3G61400	" 2-oxoglutarate-dependent dioxygenase, putative [Arabidopsis thaliana] "
AT4G03050	" 2-oxoglutarate-dependent dioxygenase, putative (AOP3) [Arabidopsis thaliana] "
AT4G03060	" 2-oxoglutarate-dependent dioxygenase, putative (AOP2) [Arabidopsis thaliana] "
AT4G03070	 2-oxoglutarate-dependent dioxygenase (AOP1.2) [Arabidopsis thaliana] 
AT4G10490	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT4G10500	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT4G13400	 expressed protein [Arabidopsis thaliana] 
AT4G21200	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT4G21690	 gibberellin 3 beta-hydroxylase family protein [Arabidopsis thaliana] 
AT4G22880	" leucoanthocyanidin dioxygenase, putative / anthocyanidin synthase, putative [Arabidopsis thaliana] "
AT4G23340	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT4G25300	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT4G25310	" oxidoreductase, 2OG-Fe(II) oxygenase family protein [Arabidopsis thaliana] "
AT4G25420	 gibberellin 20-oxidase [Arabidopsis thaliana] 
AT5G05600	" oxidoreductase, 2OG-Fe(II) oxygenase family [Arabidopsis thaliana] "
AT5G07200	 gibberellin 20-oxidase [Arabidopsis thaliana] 
AT5G07480	" oxidoreductase, 2OG-Fe(II) oxygenase family [Arabidopsis thaliana] "
AT5G08640	 flavonol synthase 1 (FLS1) [Arabidopsis thaliana] 
AT5G20400	" oxidoreductase, 2OG-Fe(II) oxygenase family [Arabidopsis thaliana] "
AT5G20550	" oxidoreductase, 2OG-Fe(II) oxygenase family [Arabidopsis thaliana] "
AT5G24530	" oxidoreductase, 2OG-Fe(II) oxygenase family [Arabidopsis thaliana] "
AT5G43440	" 2-oxoglutarate-dependent dioxygenase, putative [Arabidopsis thaliana] "
AT5G43450	" 2-oxoglutarate-dependent dioxygenase, putative [Arabidopsis thaliana] "
AT5G51310	 gibberellin 20-oxidase-related [Arabidopsis thaliana] 
AT5G51810	" gibberellin 20-oxidase, putative [Arabidopsis thaliana] "
AT5G54000	" oxidoreductase, 2OG-Fe(II) oxygenase family [Arabidopsis thaliana] "
AT5G58660	" oxidoreductase, 2OG-Fe(II) oxygenase family [Arabidopsis thaliana] "
AT5G59530	" 2-oxoglutarate-dependent dioxygenase, putative [Arabidopsis thaliana] "
AT5G59540	" oxidoreductase, 2OG-Fe(II) oxygenase family [Arabidopsis thaliana] "
AT5G63590	" flavonol synthase, putative [Arabidopsis thaliana] "
