"","gene","WFe_pH 5.5","LFe_pH 5.5","LFe_pH 7.5","WFe_pH 7.5","cluster","membership"
"64","AT1G29670",1.37762593842151,-0.360471043451008,-0.0316574539641251,-0.985497441006374,1,0.196624698105384
"65","AT1G30110",0.872293775333597,0.717992908145227,-1.2742486983899,-0.316037985088926,1,0.352877780527968
"66","AT1G30130",0.649549437327715,0.596904503212626,-1.47321721420461,0.226763273664271,1,0.272394082778666
"67","AT1G30270",0.965202774351416,0.748960718585345,-0.995398784720854,-0.718764708215908,1,0.296142175513331
"68","AT1G30370",1.41973840808351,-0.0454020037490427,-0.824793117296316,-0.549543287038151,1,0.34783426170109
"69","AT1G31710",1.23802547845548,0.197348425437038,-1.16389172090597,-0.271482182986542,1,0.650220028277564
"70","AT1G31750",0.831070606438891,0.495222885511771,-1.43274038140358,0.106446889452923,1,0.379676881889329
"71","AT1G32640",1.02084327209981,0.658408219528981,-1.07882738062953,-0.600424110999259,1,0.357050372277507
"72","AT1G32990",1.35718936310877,0.031502623094792,-1.00483906961845,-0.383852916585113,1,0.450931552505114
"73","AT1G33813",1.38499166642323,0.012295477734468,-0.928253266507572,-0.469033877650124,1,0.401344440510291
"74","AT1G33840",1.35045175856666,-0.0177155402281939,-1.04575794402455,-0.286978274313909,1,0.457510142089463
"75","AT1G33920",0.938952731173736,0.355053811434402,-1.40696316940757,0.112956626799427,1,0.456020262345084
"76","AT1G34315",1.28369771975625,0.219306964835633,-1.04689452103009,-0.4561101635618,1,0.503964725303616
"77","AT1G34500",0.892234893472744,0.622240975571499,-1.33599284129651,-0.178483027747736,1,0.41256396945191
"78","AT1G34520",1.21054239913401,0.0779398325909914,-1.23518072853839,-0.0533015031866114,1,0.593895357548798
"79","AT1G35612",0.996596094878269,0.405862707272806,-1.35644934149748,-0.0460094606536001,1,0.558017625725696
"80","AT1G35625",0.906287897841007,0.787704257445091,-1.09535019774617,-0.59864195753993,1,0.298585910551599
"81","AT1G35720",0.81406514692651,0.280229579185425,-1.45819863650628,0.363903910394349,1,0.303501709884783
"82","AT1G37130",0.939175330424897,0.741795519158045,-0.562225107907681,-1.11874574167526,1,0.219328006208764
"83","AT1G44020",0.898652011796581,0.788059006960202,-1.1162021080791,-0.570508910677688,1,0.301206156719948
"84","AT1G45015",0.965086960238854,0.670644270947549,-1.19272231533516,-0.443008915851241,1,0.384000310546633
"85","AT1G45545",0.664615338295779,0.481011302994359,-1.4867838830476,0.341157241757461,1,0.26849484984898
"86","AT1G47520",1.05376268530095,0.229742249201948,-1.35347932621924,0.0699743917163427,1,0.547951884560476
"87","AT1G47600",1.04192720834024,0.636205950701463,-1.06441545468414,-0.613717704357557,1,0.362352765812903
"88","AT1G48220",1.26088636338975,0.345659106742729,-0.793495548814829,-0.813049921317652,1,0.328453371264957
"89","AT1G48500",1.19302644992108,0.288879125274788,-1.18548325554749,-0.296422319648378,1,0.662421980468161
"90","AT1G49032",0.819084118455045,0.670205850705734,-1.36550447691866,-0.123785492242118,1,0.355572787522158
"91","AT1G49840",0.925038061500505,0.21629600423254,-1.42101957697016,0.279685511237116,1,0.364460176324524
"92","AT1G50520",1.1708478884251,0.278113366111278,-1.22549151496771,-0.223469739568667,1,0.715793470758616
"93","AT1G51550",1.2167727888883,-0.00465239088467235,-1.23248832969671,0.0203679316930859,1,0.48455739147572
"94","AT1G51830",1.09869497520566,0.596564391528531,-0.85137921453963,-0.84388015219456,1,0.302387677533082
"95","AT1G51840",1.07450285540932,0.628571146476109,-0.859000230334331,-0.844073771551098,1,0.297065152553087
"96","AT1G51940",1.29125769727982,-0.0952541247026907,-1.14953054262594,-0.0464730299511882,1,0.415087925547759
"97","AT1G52050",1.16327442117199,0.284327556295833,-1.23280723584363,-0.214794741624195,1,0.719440231641163
"98","AT1G52060",1.13529787672777,0.258183743624519,-1.27706157169326,-0.116420048659027,1,0.721753206371001
"99","AT1G52070",1.23846733196102,0.319383308670179,-1.05346462583554,-0.504386014795658,1,0.488877976236067
"100","AT1G53140",1.22493438038029,0.101655162525345,-1.21523774134238,-0.111351801563253,1,0.631313785448561
"101","AT1G53830",0.952075597467888,0.0408319598819204,-1.3905880244784,0.397680467128595,1,0.290155113497546
"102","AT1G53910",0.994561880709853,0.170666749116022,-1.38972045610569,0.224491826279814,1,0.40851137781141
"103","AT1G53920",1.11512359642173,-0.0820082253616967,-1.29633660635189,0.263221235291854,1,0.317858843186896
"104","AT1G54030",1.36781281220784,0.124453367062495,-0.755360637789084,-0.736905541481246,1,0.330710584659273
"105","AT1G54820",1.41913536359904,-0.181178696551758,-0.924723934436415,-0.313232732610865,1,0.340594143516012
"106","AT1G55152",0.932712097845722,0.564836743852352,-1.33600577589187,-0.161543065806205,1,0.461790581924318
"107","AT1G55230",0.956609685900823,0.523472894709826,-1.33818500824914,-0.141897572361507,1,0.496176682654197
"108","AT1G55240",0.892751832550315,0.194976592825832,-1.43082580431492,0.343097378938771,1,0.325316283218533
